name,fips_code,region_id
Ward,48475,7,,
Winkler,48495,7,,
Aransas,48007,8,,
Bee,48025,8,,
Brooks,48047,8,,
Cameron,48061,8,,
Duval,48131,8,,
Hidalgo,48215,8,,
Jim Hogg,48247,8,,
Jim Wells,48249,8,,
Kenedy,48261,8,,
Kleberg,48273,8,,
Live Oak,48297,8,,
McMullen,48311,8,,
Nueces,48355,8,,
Refugio,48391,8,,
San Patricio,48409,8,,
Starr,48427,8,,
Webb,48479,8,,
Willacy,48489,8,,
Zapata,48505,8,,
